#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1139	NM_001281451.1	chr7	-	72726531	72739579	72726916	72738785	7	72726531,72730563,72732685,72732820,72734145,72738386,72739468,	72727506,72730688,72732708,72733051,72734241,72738803,72739579,	0	TRIM50	cmpl	cmpl	1,2,0,0,0,0,-1,
1139	NM_178125.3	chr7	-	72726531	72742085	72726916	72738785	7	72726531,72730563,72732685,72732820,72734145,72738386,72741902,	72727506,72730688,72732708,72733051,72734241,72738803,72742085,	0	TRIM50	cmpl	cmpl	1,2,0,0,0,0,-1,
1139	NM_001281450.1	chr7	-	72726531	72742085	72726916	72738785	7	72726531,72730563,72732685,72732820,72734145,72738386,72741902,	72727506,72730688,72732705,72733051,72734241,72738803,72742085,	0	TRIM50	cmpl	cmpl	1,2,0,0,0,0,-1,
142	NM_001362789.2	chr7	+	72742163	72772634	72742275	72756897	8	72742163,72742577,72743362,72744152,72754639,72755271,72756806,72772189,	72742317,72742695,72743452,72744355,72754834,72755381,72756899,72772634,	0	FKBP6	cmpl	cmpl	0,0,1,1,0,0,2,-1,
142	NM_001135211.3	chr7	+	72742163	72772634	72742275	72756897	9	72742163,72742577,72743362,72744152,72745659,72754639,72755271,72756806,72772189,	72742317,72742695,72743452,72744355,72745779,72754834,72755381,72756899,72772634,	0	FKBP6	cmpl	cmpl	0,0,1,1,0,0,0,2,-1,
142	NM_001281304.2	chr7	+	72742163	72772634	72742431	72756897	8	72742163,72742577,72744152,72745659,72754639,72755271,72756806,72772189,	72742488,72742695,72744355,72745779,72754834,72755381,72756899,72772634,	0	FKBP6	cmpl	cmpl	0,0,1,0,0,0,2,-1,
142	NM_003602.5	chr7	+	72742163	72772634	72742431	72756897	9	72742163,72742577,72743362,72744152,72745659,72754639,72755271,72756806,72772189,	72742488,72742695,72743452,72744355,72745779,72754834,72755381,72756899,72772634,	0	FKBP6	cmpl	cmpl	0,0,1,1,0,0,0,2,-1,
1140	NM_003508.3	chr7	+	72848107	72850450	72848337	72850113	1	72848107,	72850450,	0	FZD9	cmpl	cmpl	0,
142	NM_001370402.1	chr7	-	72854735	72936623	72856525	72936263	19	72854735,72857054,72858313,72861593,72863871,72865176,72873865,72877251,72879768,72880625,72883846,72884674,72891197,72903523,72907129,72912826,72922656,72925065,72936156,	72856883,72857158,72858459,72861709,72864019,72865324,72874048,72877429,72879867,72880731,72883980,72884813,72892899,72903721,72907251,72913028,72922801,72925182,72936623,	0	BAZ1B	cmpl	cmpl	2,0,1,2,1,0,0,2,2,1,2,1,0,0,1,0,2,2,0,
142	NM_032408.4	chr7	-	72854735	72936623	72856525	72936263	20	72854735,72856510,72857054,72858313,72861593,72863871,72865176,72873865,72877251,72879768,72880625,72883846,72884674,72891197,72903523,72907129,72912826,72922656,72925065,72936156,	72856023,72856883,72857158,72858459,72861709,72864019,72865324,72874048,72877429,72879867,72880731,72883980,72884813,72892899,72903721,72907251,72913028,72922801,72925182,72936623,	0	BAZ1B	cmpl	cmpl	-1,2,0,1,2,1,0,0,2,2,1,2,1,0,0,1,0,2,2,0,
1141	NM_001301061.2	chr7	-	72950685	72972020	72951627	72971819	7	72950685,72952263,72954211,72957877,72966496,72967877,72971816,	72951720,72952343,72954382,72957974,72966572,72967999,72972020,	0	BCL7B	cmpl	cmpl	0,1,1,0,2,0,0,
1141	NM_001707.4	chr7	-	72950685	72972020	72951627	72971908	6	72950685,72952263,72954211,72957877,72966496,72971816,	72951720,72952343,72954382,72957974,72966572,72972020,	0	BCL7B	cmpl	cmpl	0,1,1,0,2,0,
1141	NM_001197244.2	chr7	-	72950685	72972020	72951627	72971908	5	72950685,72952263,72957877,72966496,72971816,	72951720,72952343,72957974,72966572,72972020,	0	BCL7B	cmpl	cmpl	0,1,0,2,0,
1141	NR_036682.2	chr7	-	72950685	72971566	72971566	72971566	6	72950685,72952263,72954211,72957877,72966496,72971370,	72951720,72952343,72954382,72957974,72966572,72971566,	0	BCL7B	none	none	-1,-1,-1,-1,-1,-1,
1141	NM_001362663.2	chr7	-	72981866	72992717	72984836	72987752	8	72981866,72985518,72987173,72987649,72988290,72988712,72990870,72992619,	72985302,72985671,72987300,72987801,72988452,72988843,72991031,72992717,	0	TBL2	cmpl	cmpl	2,2,1,0,-1,-1,-1,-1,
1141	NM_001362660.2	chr7	-	72981866	72992909	72984836	72990901	8	72981866,72985518,72987173,72987649,72988267,72988712,72990870,72992749,	72985302,72985671,72987300,72987801,72988452,72988843,72991031,72992909,	0	TBL2	cmpl	cmpl	2,2,1,2,0,1,0,-1,
1141	NM_001362662.2	chr7	-	72981866	72992909	72984836	72987752	8	72981866,72985518,72987173,72987649,72988290,72988712,72990870,72992749,	72985302,72985671,72987300,72987801,72988452,72988843,72991031,72992909,	0	TBL2	cmpl	cmpl	2,2,1,0,-1,-1,-1,-1,
1141	NM_012453.4	chr7	-	72981866	72992909	72984836	72992879	7	72981866,72985518,72987173,72987649,72988267,72988712,72992749,	72985302,72985671,72987300,72987801,72988452,72988843,72992909,	0	TBL2	cmpl	cmpl	2,2,1,2,0,1,0,
1141	NM_001362661.2	chr7	-	72981866	72992909	72984836	72987752	7	72981866,72985518,72987173,72987649,72988290,72988712,72992749,	72985302,72985671,72987300,72987801,72988452,72988843,72992909,	0	TBL2	cmpl	cmpl	2,2,1,0,-1,-1,-1,
1142	NM_032951.3	chr7	-	73007531	73038852	73008194	73038822	17	73007531,73008603,73009966,73010171,73010482,73010693,73010968,73011194,73011511,73013855,73020017,73020239,73021303,73021660,73021919,73030400,73038529,	73008313,73008733,73010090,73010299,73010602,73010809,73011119,73011262,73012043,73014025,73020098,73020441,73021348,73021750,73022002,73030507,73038852,	0	MLXIPL	cmpl	cmpl	1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,2,0,
1142	NM_032952.3	chr7	-	73007531	73038852	73008194	73038822	17	73007531,73008603,73009966,73010171,73010482,73010693,73010968,73011194,73011511,73013855,73020017,73020239,73021303,73021660,73021919,73030400,73038529,	73008313,73008733,73010090,73010242,73010602,73010809,73011119,73011262,73012043,73014025,73020098,73020441,73021348,73021750,73022002,73030507,73038852,	0	MLXIPL	cmpl	cmpl	1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,2,0,
1142	NM_032953.3	chr7	-	73007531	73038852	73008194	73038822	17	73007531,73008603,73009966,73010171,73010482,73010693,73010968,73011194,73011511,73013855,73020017,73020239,73021303,73021660,73021919,73030400,73038529,	73008313,73008733,73010090,73010299,73010596,73010809,73011119,73011262,73012043,73014025,73020098,73020441,73021348,73021750,73022002,73030507,73038852,	0	MLXIPL	cmpl	cmpl	1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,2,0,
1142	NM_032954.3	chr7	-	73007531	73038852	73008194	73038822	17	73007531,73008603,73009966,73010171,73010482,73010693,73010968,73011194,73011511,73013855,73020017,73020239,73021303,73021660,73021919,73030400,73038529,	73008313,73008733,73010090,73010242,73010596,73010809,73011119,73011262,73012043,73014025,73020098,73020441,73021348,73021750,73022002,73030507,73038852,	0	MLXIPL	cmpl	cmpl	1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,2,0,
1142	NR_134541.2	chr7	-	73007531	73038852	73038852	73038852	16	73007531,73008603,73009966,73010171,73010482,73010693,73011194,73011511,73013855,73020017,73020239,73021303,73021660,73021919,73030400,73038529,	73008313,73008733,73010090,73010299,73010602,73010809,73011262,73012043,73014025,73020098,73020441,73021348,73021750,73022002,73030507,73038852,	0	MLXIPL	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1142	NM_001077621.2	chr7	+	73082160	73086440	73082288	73085706	4	73082160,73083748,73084349,73085343,	73082426,73083920,73084432,73086440,	0	VPS37D	cmpl	cmpl	0,0,1,0,
1142	NM_032317.3	chr7	-	73095247	73097783	73097072	73097753	1	73095247,	73097783,	0	DNAJC30	cmpl	cmpl	0,
1142	NM_017528.5	chr7	+	73097926	73112542	73097955	73112216	12	73097926,73098096,73100965,73101147,73101328,73105245,73106925,73107658,73107953,73108321,73111934,73112161,	73098003,73098134,73101061,73101230,73101425,73105342,73106976,73107744,73107999,73108380,73112024,73112542,	0	BUD23	cmpl	cmpl	0,0,2,2,1,2,0,0,2,0,2,2,
1142	NM_001202560.3	chr7	+	73097926	73112542	73097955	73112216	13	73097926,73098096,73100965,73101147,73101328,73105245,73106925,73107658,73107953,73108321,73111795,73111934,73112161,	73098003,73098134,73101061,73101230,73101425,73105342,73106976,73107744,73107999,73108380,73111846,73112024,73112542,	0	BUD23	cmpl	cmpl	0,0,2,2,1,2,0,0,2,0,2,2,2,
1142	NR_045512.2	chr7	+	73097926	73112542	73112542	73112542	11	73097926,73098096,73100965,73101147,73101328,73106925,73107658,73107953,73108321,73111934,73112161,	73098003,73098134,73101061,73101230,73101425,73106976,73107744,73107999,73108380,73112024,73112542,	0	BUD23	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1142	NR_037776.3	chr7	+	73097926	73112542	73112542	73112542	12	73097926,73098096,73100965,73101147,73101328,73105245,73106925,73107658,73107953,73108321,73111934,73112161,	73098003,73098330,73101061,73101230,73101425,73105342,73106976,73107744,73107999,73108380,73112024,73112542,	0	BUD23	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1142	NM_004603.4	chr7	-	73113539	73133999	73114736	73133961	10	73113539,73115059,73117174,73118084,73118477,73118679,73119479,73122918,73123374,73133931,	73114814,73115170,73117312,73118158,73118586,73118753,73119554,73123018,73123452,73133999,	0	STX1A	cmpl	cmpl	0,0,0,1,0,1,1,0,0,0,
1142	NM_001165903.2	chr7	-	73113539	73133999	73114801	73133961	10	73113539,73115059,73117174,73118084,73118477,73118679,73119479,73122918,73123374,73133931,	73114814,73115124,73117312,73118158,73118586,73118753,73119554,73123018,73123452,73133999,	0	STX1A	cmpl	cmpl	2,0,0,1,0,1,1,0,0,0,
1142	NR_036247.1	chr7	+	73125646	73125727	73125727	73125727	1	73125646,	73125727,	0	MIR4284	none	none	-1,
